close,date,high,low,open,predict,volume
10403.0,2019-05-18,10454.0,10365.0,10406.0,2,61007.0
10433.0,2019-05-20,10485.0,10405.0,10442.0,2,137967.0
10487.0,2019-05-21,10502.0,10347.0,10434.0,2,190980.0
10480.0,2019-05-22,10515.0,10453.0,10482.0,2,153523.0
10310.0,2019-05-23,10490.0,10285.0,10476.0,2,179353.0
10344.0,2019-05-24,10386.0,10238.0,10293.0,2,166765.0
10322.0,2019-05-25,10361.0,10303.0,10351.0,2,30562.0
10333.0,2019-05-27,10390.0,10284.0,10350.0,2,103055.0
10340.0,2019-05-28,10374.0,10309.0,10342.0,2,97935.0
10291.0,2019-05-29,10344.0,10218.0,10329.0,2,127022.0
10367.0,2019-05-30,10382.0,10241.0,10268.0,2,155926.0
10455.0,2019-05-31,10493.0,10330.0,10373.0,2,161329.0
10416.0,2019-06-01,10458.0,10411.0,10440.0,2,35788.0
10471.0,2019-06-03,10477.0,10366.0,10431.0,2,129013.0
10416.0,2019-06-04,10499.0,10401.0,10471.0,2,133390.0
10456.0,2019-06-05,10510.0,10409.0,10411.0,2,131766.0
10360.0,2019-06-06,10470.0,10351.0,10446.0,2,145827.0
10383.0,2019-06-07,10410.0,10338.0,10363.0,2,27432.0
10539.0,2019-06-10,10546.0,10442.0,10477.0,2,122463.0
10592.0,2019-06-11,10618.0,10533.0,10549.0,2,124607.0
10592.0,2019-06-12,10616.0,10561.0,10591.0,2,112568.0
10529.0,2019-06-13,10594.0,10497.0,10585.0,2,139860.0
10529.0,2019-06-14,10558.0,10516.0,10522.0,2,100964.0
10487.0,2019-06-15,10522.0,10480.0,10522.0,2,23320.0
10545.0,2019-06-17,10565.0,10460.0,10477.0,2,101665.0
10553.0,2019-06-18,10576.0,10526.0,10541.0,2,79671.0
10770.0,2019-06-19,10800.0,10547.0,10557.0,2,114979.0
10591.0,2019-06-20,10605.0,10542.0,10572.0,2,108645.0
10585.0,2019-06-21,10677.0,10564.0,10602.0,2,142115.0
10586.0,2019-06-22,10617.0,10579.0,10596.0,2,21263.0
10623.0,2019-06-24,10647.0,10553.0,10605.0,2,91541.0
10540.0,2019-06-25,10630.0,10523.0,10622.0,2,118967.0
10503.0,2019-06-26,10568.0,10498.0,10545.0,2,114363.0
10622.0,2019-06-27,10642.0,10504.0,10506.0,2,138285.0
10580.0,2019-06-28,10636.0,10550.0,10628.0,2,111400.0
