date,open,high,low,close,volume,predict
2019-09-05,10690.0,10762.0,10675.0,10735.0,121054,1
2019-09-06,10717.0,10795.0,10714.0,10768.0,97470,1
2019-09-07,10777.0,10794.0,10758.0,10776.0,21599,1
2019-09-09,10802.0,10827.0,10773.0,10792.0,68655,2
2019-09-10,10794.0,10814.0,10731.0,10743.0,90805,2
2019-09-11,10749.0,10808.0,10723.0,10773.0,111384,2
2019-09-12,10775.0,10870.0,10762.0,10824.0,105750,2
2019-09-13,10821.0,10829.0,10795.0,10819.0,28369,0
2019-09-16,10802.0,10885.0,10802.0,10881.0,76736,2
2019-09-17,10887.0,10913.0,10858.0,10863.0,77323,2
2019-09-18,10865.0,10963.0,10854.0,10959.0,73753,0
2019-09-19,10898.0,10936.0,10844.0,10870.0,112018,2
2019-09-20,10862.0,10919.0,10856.0,10901.0,86647,0
2019-09-21,10906.0,10918.0,10857.0,10859.0,22840,2
2019-09-23,10894.0,10929.0,10872.0,10894.0,75187,1
2019-09-24,10895.0,10932.0,10865.0,10908.0,110180,0
2019-09-25,10907.0,10908.0,10805.0,10841.0,127924,1
2019-09-26,10829.0,10895.0,10792.0,10843.0,124086,2
2019-09-27,10842.0,10898.0,10811.0,10824.0,126414,0
2019-09-28,10836.0,10861.0,10768.0,10798.0,46592,1
2019-10-01,10856.0,10962.0,10856.0,10954.0,90905,0
2019-10-02,10957.0,10964.0,10902.0,10922.0,101716,0
2019-10-03,10919.0,10921.0,10773.0,10851.0,140707,1
2019-10-04,10869.0,10912.0,10818.0,10880.0,147369,2
2019-10-05,10862.0,10925.0,10853.0,10921.0,35241,1
2019-10-07,10907.0,10937.0,10886.0,10915.0,67648,1
2019-10-08,10912.0,11021.0,10904.0,11001.0,104336,2
2019-10-09,11009.0,11009.0,10880.0,10880.0,128509,0
2019-10-10,10876.0,10942.0,10771.0,10914.0,35894,0
2019-10-14,11070.0,11092.0,11030.0,11076.0,84410,2
2019-10-15,11071.0,11122.0,11048.0,11108.0,85691,1
2019-10-16,11117.0,11171.0,11110.0,11145.0,83323,0
2019-10-17,11131.0,11166.0,11117.0,11157.0,80256,2
2019-10-18,11166.0,11245.0,11132.0,11150.0,145615,0
2019-10-19,11141.0,11173.0,11125.0,11132.0,27209,2
2019-10-21,11157.0,11168.0,11133.0,11155.0,54206,0
2019-10-22,11154.0,11252.0,11150.0,11242.0,98414,0
2019-10-23,11242.0,11268.0,11182.0,11201.0,102344,1
2019-10-24,11206.0,11292.0,11195.0,11290.0,93050,0
2019-10-25,11294.0,11328.0,11264.0,11284.0,90163,2
2019-10-26,11288.0,11330.0,11276.0,11326.0,19610,1
2019-10-28,11334.0,11342.0,11291.0,11311.0,52187,2
2019-10-29,11315.0,11366.0,11293.0,11326.0,99550,0
2019-10-30,11324.0,11351.0,11295.0,11338.0,86517,2
2019-10-31,11340.0,11396.0,11315.0,11346.0,104101,0
2019-11-01,11344.0,11377.0,11302.0,11371.0,93403,0
2019-11-02,11371.0,11406.0,11361.0,11406.0,23162,0
2019-11-04,11416.0,11554.0,11413.0,11544.0,102899,0
2019-11-05,11549.0,11650.0,11538.0,11645.0,125201,0
2019-11-06,11633.0,11682.0,11600.0,11653.0,128495,2
2019-11-07,11648.0,11662.0,11558.0,11596.0,121768,2
2019-11-08,11599.0,11674.0,11554.0,11573.0,130783,2
